id,job_title,openings,status,created_at,updated_at,provider_id,salary,salary_type,provider_name,provider_location,provider_industry,provider_contact_number,description
1,Photographer,1,Closed,2025-09-30 00:00:00,2025-10-01 00:00:00,PID0001,27000,Monthly,,"Kazhakkoottam, Technopark, Sreekaryam",Media & Entertainment,,"Capture high-quality photographs for events, products, and marketing materials. Must have experience with professional camera equipment and photo editing software."
2,Business Development Executive,2,Open,2025-10-13 00:00:00,2025-10-13 00:00:00,PID0002,36500,Monthly,,"Balaramapuram, Neyyattinkara, Vellanad",Finance,,"Identify new business opportunities and build client relationships. Responsible for sales targets, market research, and developing growth strategies."
3,Production Supervisor,4,Open,2025-09-04 00:00:00,2025-09-09 00:00:00,PID0003,25000,Monthly,,"Kazhakkoottam, Pallipuram, Kulathoor",Healthcare,,"Oversee daily production operations, manage team schedules, ensure quality standards, and maintain safety protocols in the manufacturing facility."
4,Waiter,3,Open,2025-10-05 00:00:00,2025-10-10 00:00:00,PID0004,20000,Monthly,,"Neyyattinkara, Parassala, Amaravila",Food & Beverage,,"Provide excellent customer service in a restaurant setting. Take orders, serve food and beverages, and ensure guest satisfaction."
5,Pharmacist,1,Open,2025-10-09 00:00:00,2025-10-09 00:00:00,PID0005,33500,Monthly,,"Pattom, Kowdiar, Vellayambalam",Healthcare,,"Dispense medications, provide pharmaceutical care, counsel patients on drug usage, and ensure compliance with healthcare regulations."
6,Financial Advisor,5,Open,2025-10-13 00:00:00,2025-10-18 00:00:00,PID0006,33500,Monthly,,"Nedumangad, Aruvikkara, Vithura",Finance,,"Provide financial planning advice to clients, including investments, insurance, and retirement planning. Build and maintain client portfolio."
7,Graphic Designer,3,Urgent,2025-09-05 00:00:00,2025-09-09 00:00:00,PID0007,27000,Monthly,,"Karoor, Pattom, Vazhuthacaud",Media & Entertainment,,"Create visual content for digital and print media. Design logos, brochures, social media graphics, and marketing materials using design software."
8,Car Salesman,2,Hold,2025-09-27 00:00:00,2025-09-27 00:00:00,PID0008,21500,Monthly,,"Balaramapuram, Kalliyoor, Venganoor",Automotive,,"Sell new and used vehicles to customers. Demonstrate car features, negotiate prices, and complete sales documentation."
9,Security Guard,3,Open,2025-09-22 00:00:00,2025-09-23 00:00:00,PID0009,22000,Monthly,,"Neyyattinkara, Kattakada, Pothencode",Healthcare,,"Maintain security and safety of premises. Monitor surveillance equipment, patrol areas, and respond to security incidents."
10,Receptionist,2,Urgent,2025-10-11 00:00:00,2025-10-15 00:00:00,PID0010,18500,Monthly,,"Kollayil, Peroorkada, Kesavadasapuram",Healthcare,,"Greet visitors, manage phone calls, schedule appointments, and handle administrative tasks at the front desk."
11,Field Sales Representative,5,Open,2025-09-28 00:00:00,2025-10-03 00:00:00,PID0011,34000,Monthly,,"Peroorkada, Ulloor, Akkulam",Finance,,"Visit potential clients to promote and sell products. Meet sales targets, build customer relationships, and report market feedback."
12,Delivery Boy,3,Open,2025-10-01 00:00:00,2025-10-01 00:00:00,PID0012,21000,Monthly,,"Chirayinkil, Kadakkavoor, Anchuthengu",Logistics & Transport,,"Deliver packages and documents to customers in a timely manner. Ensure safe handling of goods and collect payments when required."
13,Office Assistant,4,Open,2025-08-31 00:00:00,2025-09-02 00:00:00,PID0013,20000,Monthly,,"Vizhinjam, Kovalam, Poovar",Retail,,"Support daily office operations including filing, data entry, photocopying, and assisting other staff members with administrative tasks."
14,Medical Representative,5,Urgent,2025-09-29 00:00:00,2025-09-30 00:00:00,PID0014,22000,Monthly,,"Pappanamcode, Pettah, Manacaud",Healthcare,,"Promote pharmaceutical products to healthcare professionals. Build relationships with doctors and pharmacies to increase product awareness."
15,Accountant,2,Open,2025-09-08 00:00:00,2025-09-11 00:00:00,PID0015,31000,Monthly,,"Ambalamukku, Kowdiar, Pattom",Finance,,"Manage financial records, prepare statements, handle accounts payable/receivable, and ensure compliance with accounting standards."
16,Production Supervisor,4,Urgent,2025-10-06 00:00:00,2025-10-11 00:00:00,PID0016,28000,Monthly,,"Balaramapuram, Parasuvaikkal, Vellanad",IT & Technology,,"Lead production team to meet manufacturing goals. Monitor quality, optimize processes, and maintain equipment standards."
17,Store Manager,5,Hold,2025-09-16 00:00:00,2025-09-20 00:00:00,PID0017,38500,Monthly,,"Thiruvananthapuram, Thampanoor, Palayam",Retail,,"Oversee store operations, manage staff, ensure customer satisfaction, and achieve sales targets. Handle inventory and merchandising."
18,Software Developer,3,Hold,2025-09-02 00:00:00,2025-09-06 00:00:00,PID0018,61000,Monthly,,"Pangode, Mannanthala, Peyad",IT & Technology,,"Design, develop, and maintain software applications. Write clean code, debug programs, and collaborate with the development team."
19,Video Operator,1,Closed,2025-09-18 00:00:00,2025-09-19 00:00:00,PID0019,22000,Monthly,,"Pattom, Kesavadasapuram, Ulloor",Media & Entertainment,,"Operate video cameras and equipment for shoots. Edit footage, manage technical setup, and ensure high-quality video production."
20,Medical Representative,1,Hold,2025-10-04 00:00:00,2025-10-08 00:00:00,PID0020,30500,Monthly,,"Neyyattinkara, Amaravila, Parassala",Healthcare,,"Present and promote medical products to healthcare providers. Develop territory sales strategies and maintain client relationships."
21,Photographer,2,Open,2025-09-13 00:00:00,2025-09-17 00:00:00,PID0021,23500,Monthly,,"Chirayinkil, Attingal, Varkala",Media & Entertainment,,"Photograph events, portraits, and commercial projects. Edit and retouch images to meet client specifications."
22,Teacher,4,Open,2025-10-15 00:00:00,2025-10-19 00:00:00,PID0022,36000,Monthly,,"Karoor, Pattom, Nanthancode",Education,,"Teach students following the curriculum. Prepare lesson plans, assess student progress, and maintain classroom discipline."
23,Nurse,5,Open,2025-09-30 00:00:00,2025-09-30 00:00:00,PID0023,35000,Monthly,,"Chelari, Varkala, Attingal",Healthcare,,"Provide patient care in healthcare settings. Administer medications, monitor vital signs, and assist doctors with procedures."
24,Cashier,2,Open,2025-10-11 00:00:00,2025-10-15 00:00:00,PID0024,23500,Monthly,,"Kannanmoola, Pallimukku, Thycaud",Retail,,"Handle cash transactions, process payments, and maintain accurate register counts. Provide friendly customer service."
25,Receptionist,2,Urgent,2025-09-12 00:00:00,2025-09-16 00:00:00,PID0025,22000,Monthly,,"Karoor, Vazhuthacaud, Kowdiar",Retail,,"Welcome visitors, answer inquiries, manage calls, and perform clerical duties to support office operations."
26,Teacher,3,Open,2025-08-31 00:00:00,2025-09-02 00:00:00,PID0026,31500,Monthly,,"Kollayil, Sreekaryam, Ulloor",Education,,"Educate students in assigned subjects. Create engaging lessons, evaluate performance, and support student development."
27,Electrician,1,Urgent,2025-10-01 00:00:00,2025-10-01 00:00:00,PID0027,23500,Monthly,,"Pattom, Edapazhanji, Sasthamangalam",Construction,,"Install, maintain, and repair electrical systems. Read blueprints, troubleshoot issues, and ensure electrical safety compliance."
28,Carpenter,1,Open,2025-10-15 00:00:00,2025-10-15 00:00:00,PID0028,25000,Monthly,,"Ambalamukku, Peroorkada, Vattiyoorkavu",Construction,,"Build and repair wooden structures and fixtures. Read technical drawings, measure materials, and use carpentry tools safely."
29,Store Manager,3,Closed,2025-10-11 00:00:00,2025-10-15 00:00:00,PID0029,44000,Monthly,,"Chavadimula, Pothencode, Mannanthala",Retail,,"Lead store team, manage inventory, drive sales performance, and ensure excellent customer experience."
30,Garment Quality Checker,2,Hold,2025-09-09 00:00:00,2025-09-13 00:00:00,PID0030,20000,Monthly,,"Karoor, Pattom, Vellayambalam",Textiles,,"Inspect garments for defects and quality standards. Document issues and work with production to maintain quality levels."
31,Tailor,4,Open,2025-10-09 00:00:00,2025-10-09 00:00:00,PID0031,24000,Monthly,,"Vazhuthacaud, Statue, Palayam",Textiles,,"Create and alter clothing based on customer specifications. Take measurements, cut fabric, and operate sewing machines."
32,Cook,1,Open,2025-10-12 00:00:00,2025-10-17 00:00:00,PID0032,22000,Monthly,,"Pappanamcode, Nemom, Peyad",Food & Beverage,,"Prepare meals according to recipes and standards. Maintain kitchen cleanliness and follow food safety guidelines."
33,Content Writer,5,Open,2025-09-30 00:00:00,2025-10-01 00:00:00,PID0033,22500,Monthly,,"Sreekariyam, Technopark, Kazhakkoottam",Media & Entertainment,,"Create engaging written content for websites, blogs, and marketing materials. Research topics and optimize content for SEO."
34,Hospital Attendant,1,Open,2025-09-16 00:00:00,2025-09-17 00:00:00,PID0034,23500,Monthly,,"Peroorkada, Vattiyoorkavu, Nedumcaud",Healthcare,,"Assist with patient care activities, maintain cleanliness, transport patients, and support nursing staff with daily tasks."
35,Mobile App Developer,5,Hold,2025-10-09 00:00:00,2025-10-09 00:00:00,PID0035,73500,Monthly,,"Chavadimula, Pothencode, Venjaramoodu",IT & Technology,,"Design and develop mobile applications for iOS and Android. Write efficient code, test apps, and fix bugs."
36,Software Developer,4,Open,2025-10-05 00:00:00,2025-10-08 00:00:00,PID0036,55500,Monthly,,"Technopark, Kazhakkoottam, Pallipuram",IT & Technology,,"Build and maintain software solutions. Collaborate with teams, write documentation, and participate in code reviews."
37,Insurance Agent,3,Hold,2025-09-21 00:00:00,2025-09-21 00:00:00,PID0037,24000,Monthly,,"Chelari, Varkala, Attingal",Automotive,,"Sell insurance policies to clients. Explain coverage options, process applications, and provide customer support."
38,Quality Assurance Officer,4,Open,2025-09-10 00:00:00,2025-09-15 00:00:00,PID0038,27000,Monthly,,"Kesavadasapuram, Pattom, Nanthancode",Healthcare,,"Ensure products meet quality standards through testing and inspection. Document findings and recommend improvements."
39,Car Salesman,5,Open,2025-09-25 00:00:00,2025-09-25 00:00:00,PID0039,23000,Monthly,,"Vizhinjam, Kovalam, Poovar",Retail,,"Assist customers in purchasing vehicles. Provide product information, arrange test drives, and close sales deals."
40,Production Supervisor,2,Open,2025-09-13 00:00:00,2025-09-13 00:00:00,PID0040,30000,Monthly,,"Akkulam, Ulloor, Kesavadasapuram",IT & Technology,,"Supervise manufacturing processes, coordinate with teams, and ensure production targets are met efficiently."
41,Hair Stylist,5,Open,2025-09-20 00:00:00,2025-09-20 00:00:00,PID0041,18500,Monthly,,"Piravantoor, Neyyattinkara, Balaramapuram",Beauty & Wellness,,"Provide hair cutting, styling, and coloring services. Consult with clients and recommend hair care products."
42,Beauty Therapist,5,Urgent,2025-10-10 00:00:00,2025-10-13 00:00:00,PID0042,19000,Monthly,,"Thampanoor, East Fort, Palayam",Beauty & Wellness,,"Perform skincare treatments, facials, and beauty services. Advise clients on skincare routines and products."
43,Electrician,3,Open,2025-10-02 00:00:00,2025-10-07 00:00:00,PID0043,26000,Monthly,,"Technopark, Sreekaryam, Pallipuram",Construction,,"Install and repair electrical wiring and systems. Ensure compliance with electrical codes and safety standards."
44,Accountant,3,Hold,2025-09-04 00:00:00,2025-09-06 00:00:00,PID0044,31500,Monthly,,"Kowdiar, Pattom, Vellayambalam",Finance,,"Prepare financial reports, manage budgets, and handle tax filings. Ensure accuracy in all financial documentation."
45,Store Manager,2,Urgent,2025-10-09 00:00:00,2025-10-09 00:00:00,PID0045,40500,Monthly,,"Pappanamcode, Nemom, Mannanthala",Retail,,"Manage daily store operations, supervise staff, and implement sales strategies to achieve business goals."
46,Accountant,3,Open,2025-10-11 00:00:00,2025-10-12 00:00:00,PID0046,43500,Monthly,,"Technopark, Kazhakkoottam, Kulathoor",Finance,,"Handle accounting functions including bookkeeping, reconciliations, and financial analysis for the organization."
47,Waiter,1,Closed,2025-09-06 00:00:00,2025-09-11 00:00:00,PID0047,20500,Monthly,,"Karoor, Pattom, Kesavadasapuram",Food & Beverage,,"Serve food and beverages to customers. Take orders accurately and ensure a pleasant dining experience."
48,Database Administrator,1,Closed,2025-10-07 00:00:00,2025-10-09 00:00:00,PID0048,49500,Monthly,,"Kesavadasapuram, Peroorkada, Ulloor",IT & Technology,,"Manage and maintain database systems. Ensure data security, perform backups, and optimize database performance."
49,Carpenter,3,Open,2025-09-07 00:00:00,2025-09-08 00:00:00,PID0049,22000,Monthly,,"Neyyattinkara, Kattakada, Palode",Construction,,"Construct and install wooden structures. Work with hand and power tools to complete carpentry projects."
50,Delivery Boy,1,Open,2025-09-13 00:00:00,2025-09-16 00:00:00,PID0050,18000,Monthly,,"Chavadimula, Venjaramoodu, Pothencode",Logistics & Transport,,"Pick up and deliver items to customers. Maintain delivery logs and ensure timely and safe deliveries."
51,Photographer,2,Closed,2025-10-13 00:00:00,2025-10-13 00:00:00,PID0051,27500,Monthly,,"Chirayinkil, Anchuthengu, Kadakkavoor",Media & Entertainment,,"Capture professional photos for various purposes. Set up lighting, edit images, and deliver final products to clients."
52,Accountant,5,Open,2025-09-10 00:00:00,2025-09-15 00:00:00,PID0052,37000,Monthly,,"Pangode, Peyad, Mannanthala",Finance,,"Maintain accurate financial records, prepare reports, and support auditing processes for the company."
53,Nurse,3,Urgent,2025-09-11 00:00:00,2025-09-11 00:00:00,PID0053,33500,Monthly,,"Chelari, Varkala, Sivagiri",Healthcare,,"Deliver compassionate patient care. Monitor health conditions, administer treatments, and maintain medical records."
54,Carpenter,1,Open,2025-10-13 00:00:00,2025-10-15 00:00:00,PID0054,19500,Monthly,,"Vazhuthacaud, Thycaud, PMG",Construction,,"Fabricate and repair wooden items and structures. Read plans and work independently on construction sites."
55,Mechanic,5,Hold,2025-10-09 00:00:00,2025-10-11 00:00:00,PID0055,26000,Monthly,,"Attingal, Chirayinkil, Kadakkavoor",Automotive,,"Diagnose and repair vehicle mechanical issues. Perform maintenance services and ensure vehicles are roadworthy."
56,Chef,2,Open,2025-09-30 00:00:00,2025-10-01 00:00:00,PID0056,26000,Monthly,,"Pangode, Thirumala, Peyad",Food & Beverage,,"Create and execute menus, supervise kitchen staff, and maintain high culinary standards in food preparation."
57,IT Support Executive,2,Open,2025-09-19 00:00:00,2025-09-24 00:00:00,PID0057,30500,Monthly,,"Pangode, Nemom, Pappanamcode",IT & Technology,,"Provide technical support to users. Troubleshoot hardware and software issues and maintain IT infrastructure."
58,Lab Technician,4,Open,2025-09-21 00:00:00,2025-09-21 00:00:00,PID0058,20000,Monthly,,"Kollayil, Peroorkada, Vattiyoorkavu",Healthcare,,"Conduct laboratory tests and experiments. Prepare samples, operate equipment, and record accurate results."
59,Car Salesman,1,Closed,2025-09-26 00:00:00,2025-09-27 00:00:00,PID0059,30000,Monthly,,"Technopark, Kazhakkoottam, Sreekaryam",Insurance,,"Guide customers through vehicle purchases. Present features, negotiate terms, and ensure customer satisfaction."
60,Car Salesman,5,Open,2025-09-28 00:00:00,2025-09-30 00:00:00,PID0060,29500,Monthly,,"Sreekariyam, Ulloor, Akkulam",Retail,,"Sell vehicles to customers by understanding their needs, providing test drives, and completing paperwork."
61,Delivery Boy,3,Open,2025-10-14 00:00:00,2025-10-14 00:00:00,PID0061,20500,Monthly,,"Karoor, Pattom, Vazhuthacaud",Logistics & Transport,,"Transport goods from warehouse to customers. Handle packages carefully and collect cash on delivery when needed."
62,Beauty Therapist,3,Open,2025-09-07 00:00:00,2025-09-10 00:00:00,PID0062,21000,Monthly,,"Thampanoor, Palayam, Statue",Beauty & Wellness,,"Provide beauty treatments including facials, massages, and body treatments. Maintain hygiene and client satisfaction."
63,Hair Stylist,1,Closed,2025-09-09 00:00:00,2025-09-10 00:00:00,PID0063,23500,Monthly,,"Pattom, Kowdiar, Nanthancode",Beauty & Wellness,,"Cut, color, and style hair for clients. Stay updated with trends and maintain salon cleanliness."
64,Cook,2,Open,2025-09-02 00:00:00,2025-09-07 00:00:00,PID0064,23000,Monthly,,"Akkulam, Technopark, Kazhakkoottam",Food & Beverage,,"Prepare food items following recipes. Maintain kitchen organization and adhere to food safety regulations."
65,Cook,1,Closed,2025-09-06 00:00:00,2025-09-08 00:00:00,PID0065,22500,Monthly,,"Piravantoor, Balaramapuram, Neyyattinkara",Food & Beverage,,"Cook meals for customers or staff. Handle ingredients properly and maintain a clean cooking environment."
66,HR Executive,3,Urgent,2025-09-25 00:00:00,2025-09-28 00:00:00,PID0066,45500,Monthly,,"Kesavadasapuram, Pattom, Ulloor",Finance,,"Handle recruitment, employee relations, and HR administration. Manage payroll processing and policy implementation."
67,Hospital Attendant,2,Urgent,2025-09-02 00:00:00,2025-09-07 00:00:00,PID0067,19500,Monthly,,"Vazhuthacaud, PMG, Thycaud",Healthcare,,"Support hospital operations by assisting patients, maintaining equipment, and helping medical staff."
68,Mason,2,Open,2025-10-15 00:00:00,2025-10-17 00:00:00,PID0068,24500,Monthly,,"Thampanoor, East Fort, Chalai",Construction,,"Build and repair structures using bricks, blocks, and concrete. Read construction plans and ensure quality work."
69,Quality Assurance Officer,2,Urgent,2025-09-17 00:00:00,2025-09-20 00:00:00,PID0069,26000,Monthly,,"Nedumangad, Vithura, Aruvikkara",Retail,,"Monitor and test products for quality compliance. Identify defects and work with teams to resolve issues."
70,Tailor,3,Urgent,2025-10-05 00:00:00,2025-10-10 00:00:00,PID0070,19500,Monthly,,"Chelari, Attingal, Varkala",Textiles,,"Sew and alter garments to fit customers. Work with various fabrics and handle custom orders."
71,Receptionist,2,Hold,2025-09-30 00:00:00,2025-10-05 00:00:00,PID0071,18500,Monthly,,"Nedumangad, Kattakada, Palode",IT & Technology,,"Manage front desk operations, greet visitors, and coordinate administrative activities."
72,Car Salesman,1,Open,2025-09-15 00:00:00,2025-09-19 00:00:00,PID0072,26000,Monthly,,"Kazhakkoottam, Sreekaryam, Technopark",Automotive,,"Sell automobiles to customers. Demonstrate vehicle features and assist with financing options."
73,Chef,4,Open,2025-10-03 00:00:00,2025-10-08 00:00:00,PID0073,29000,Monthly,,"Aryanad, Vellanad, Nedumangad",Food & Beverage,,"Lead kitchen operations, create dishes, manage inventory, and ensure food quality meets standards."
74,Content Writer,2,Hold,2025-10-09 00:00:00,2025-10-12 00:00:00,PID0074,27000,Monthly,,"Kowdiar, Pattom, Vellayambalam",Media & Entertainment,,"Write articles, blogs, and marketing copy. Research topics thoroughly and meet publishing deadlines."
75,Warehouse Operator,1,Open,2025-09-10 00:00:00,2025-09-11 00:00:00,PID0075,23000,Monthly,,"Pappanamcode, Nemom, Peyad",Logistics & Transport,,"Manage warehouse operations including receiving, storing, and dispatching goods. Operate forklifts and maintain inventory."
76,Security,1,Open,2026-01-15 00:00:00,2026-01-15 00:00:00,PID0076,18000 to 20000,Monthly,,"Neyyattinkara, Kazhakkoottam, Peroorkada",Cooperate,,"Ensure safety and security of premises. Monitor CCTV, patrol assigned areas, and respond to security concerns."
77,Picking and Packing,1,Open,2026-01-20 00:00:00,2026-01-20 00:00:00,PID0077,20000,Monthly,,"Pattom, Thirumala, Poojapura, Kazhakuttam, Peroorkada",Logistics & Transport,,"Responsible for picking items from warehouse shelves and packing them for shipment. Ensure accuracy and package integrity."
78,Loading,1,Open,2026-01-20 00:00:00,2026-01-20 00:00:00,PID0078,25000,Monthly,,"Pattom, Thirumala, Poojapura, Kazhakuttam, Peroorkada",Logistics & Transport,,"Responsible for loading and unloading goods from transport vehicles and containers. Requires physical stamina and safe material handling."
